Provincia;Localidad;Dirección;Nombre comercial;Número de Registro de Turismo de Castilla y León;Tipología;Recoger;Envío;Teléfono;Correo electrónico;Pagina web;Observaciones;Ubicación
Segovia;Segovia;C/ Colón, 5;Pasapán;40/427;restaurante;Sí;sí;678916778;info@restaurantepasapan.es;https://restaurantepasapan.es/;Tipo de comida: cocina creativa, cocina mediterránea, cocinar vegetariana, cocina tradicional, cocinas del mundo. Horario: de martes a domingo de 12h a 16h y de 19h a 23h. Los pedidos se hacen a través de la web: www.restaurantepasapan.es en la sección pedidos online. En dicha sección los clientes podrán encontrar los platos de carta que tenemos.  Además vamos a incorporar platos del día (como guisos...) y un apartado de Diseña tu menú diario. Tanto los platos del día como el Diseña tu menú estarán disponibles de martes a viernes en el horario de comidas, esto es, de 12h a 16h.;40.95013, -4.121848
Burgos;Miranda de Ebro;C/ Arenal, 76;Taj Mahal;09/676;restaurante;no;sí;623480126;adilchaudary2809@gmail.com;;Comida india.;42.686234, -2.943598
Burgos;Aranda de Duero;C/ San Antonio, 5;Telepizza;09/4243;bar;Sí;sí;947504466;tienda0198@telepizza.com;http://www.telepizza.es;Atencion al público de 13 a 16 y 18.30 a 23.30 horas.;41.672069, -3.685659
Valladolid;Valladolid;C/ Carbonero, 5-7;Ali;47/697;restaurante;Sí;no;651009006;restaurante.bar.ali@gmail.com;https://restaurantebarali.wixsite.com/restauranteali;Cocina mediterránea casera. Menú diario disponible. Amplia variedad de pizzas caseras, hamburguesas, raciones. Se puede reservar para la recogida a la puerta del local. Para reservas: Teléfono 677205888 - 676501265 Horario recogida de pedidos: Lunes a Jueves 13:30 - 15:30, Viernes y sábados 13:30 - 15:30 y de 19:30-21:50, Domingos 13:30 -15:30. Sólo asados y arroces bajo pedido con antelación.;41.650006, -4.703713
Segovia;Segovia;C/ Los Bomberos s/n;Sushicatessen / The Burguer World;40/722;restaurante;Sí;sí;921441951;;http://www.sushicatessen.es/valladolid;Restaurante de sushi a domicilio en Segovia.;40.947002, -4.112027
Valladolid;Valladolid;C/ Doctor Cazalla, 1;Ángela;47/219;restaurante;Sí;sí;983350623;info@angelarestaurante.com;;COCINA CASTELLANA, DE MERCADO Y ALEMANA. RESERVAS TELEFONO 983350623. PÁGINA WEB ANGELARESTAURANTE.COM  de 13.00 A 16.00 DE 19.30 A 21.30 horas.;41.654882, -4.728045
Ávila;Navarredonda de Gredos;Ctra. Av-941, km 10;Parador de Gredos;05/716;cafetería;Sí;no;920348048;gredos@parador.es;https://www.parador.es/es/paradores/parador-de-gredos;HORARIO: DE 13.30 H A 16.00 H Y DE 20.30 H A 21.30 H CARTA: BOCADILLO DE POLLO CON PIMIENTOS Y CEBOLLA CARAMELIZADA - 9,80 €. BOCADILLO DE JAMÓN IBERICO CON TOMATE - 8,80 €. SANDWICH MIXTO - 6,90 €. SANDWICH VEGETAL - 6,50 €. CROQUETAS DE JAMÓN (10 unidades) - 12,50 €. FINGUERS DE POLLO CON SALSA DE MIEL Y MOSTAZA (10 unidades) - 10,00 €;40.35502, -5.11312
Burgos;Burgos;C/ Valladolid 13;Golden;09/3561;bar;Sí;sí;660553189;goldenburgos@gmail.com;http://www.cerveceriagolden.com;Entrantes, especialidades europeas, hamburguesas y pizza alemana. Todos los días desde las 19h. Fin de semana también a mediodía desde las 13h.;42.339191, -3.700687
Segovia;Segovia;Plaza San Lorenzo, 5;Casa Paco;40/135;restaurante;Sí;sí;921431435;Jossse2010@hotmail.com;http://www.casapacosanlorenzo.es;Tenemos bocadillos y raciones. Tanto para recoger en el local como para llevar a domicilio (aplicación Glovo). Los días viernes, sábados y domingos. Para hacer las reservas en el número de teléfono 921 431 435.;40.952855, -4.113713
Valladolid;Rueda;C/ Real, 13;El Foro de Rueda;47/749;restaurante;Sí;sí;983868197;Elfororueda@gmail.com;;Comida de lunes a Domingo menú diario. Fines de semana hamburguesas.;41.415215, -4.960315
Segovia;Segovia;C/ Juan Bravo, 23;Diablo Cojuelo Espacio Gastronómico;40/2038;bar;Sí;sí;921462671;info@diablocojuelo.com;https://www.diablocojuelo.com;Taberna, Jamonería y Tienda Gourmet. Todo tipo de embutidos, quesos, vinos, productos delicatessen... los mejores productos de la tierra y una selección de los los productos más exquisitos nacionales e internacionales. Pueden hacer sus pedidos en www.diablocojuelo.com por teléfono en el 921462671 o por whatsapp en el 683326933;40.948281, -4.121211
Salamanca;Salamanca;C/ Compañía, 48;La Tagliatella;37/129;restaurante;Sí;sí;923215750;;https://www.latagliatella.es;Disfruta en tu casa de la mejor comida italiana. Las recetas de nuestra carta se inspiran en la tradición culinaria del norte de Italia. Déjate seducir por nuestras pizzas artesanales horneadas en un tradicional forno italiano y por nuestra gran variedad de pastas y salsas: ¡tenemos más de 400 combinaciones posibles! Pero no nos quedamos ahí, en nuestra carta encontrarás también deliciosos antipasti para abrir el apetito, sabrosos platos de carne, ricos risottos y unos suculentos postres que alegrarán la velada a los más golosos. Nuestras raciones son generosas por lo que te recomendamos que estés acompañado de quien tú prefieras para compartir los sabores de la genuina cocina italiana.;40.964903, -5.666488
Salamanca;Salamanca;Plaza Peso, 8;Zenzoo;37/417;cafetería;Sí;sí;923003617;zenzoosala@gmail.com;https://www.instagram.com/zenzoo_sala/?hl=es;En ZenZoo elaboramos deliciosos batidos con burbujas (bolitas de zumo explosivas), muchos de ellos con té, pero también otros con leche o zumos de frutas. La seña de identidad de la marca es el efecto burbujeante, que se consigue gracias a los Toppings que se le añaden a los batidos. Tenemos mas de 40 sabores que puede elegir, tanto con teína o sin teína, y también puedes ajustar el nivel de azúcar y la temperatura. Horario L-S 11.30- 22.00 D 14.00-22.00 Se puede pedir para recoger o reparto a domicilio atraves de MD por Instagram o también se puede directamente con Ubereats, Glovo y Deliveroo.;40.963787, -5.663649
Valladolid;Valladolid;Plaza Santa Brígida, 5;Don Bacalao;47/216;restaurante;Sí;no;983343937 652704066 696411891;donbacalaorestaurante@gmail.com;http://www.donbacalaoentucasa.es;HORARIO: de jueves a domingo de 13:00 a 15:30 y viernes y sábados además de 20:00 a 22:00. Restaurante que ofrece producto de mercado y temporada, hecho con el cariño y el tiempo que empleaban nuestras abuelas.;41.656559, -4.72773
Zamora;Zamora;C/ Aire, 5;La Bocca di Bacco;49/382;restaurante;Sí;sí;980049448 662558043;jpramosb@gmail.com;http://boccadibacco.es;Durante este periodo nuestro horarios es: Viernes, Sábados y Domingos de 12:00 a 16:00 horas y de 20:00 a 23:00 horas. Servicio a domicilio a través de UBER EATS y de GLOVO y en los teléfonos 980049448 y 662558043 para recoger en local. Consulta nuestras ofertas en nuestra web: boccadibacco.es;41.507087, -5.742728
Segovia;Segovia;C/ Cronista Lecea, 11;José María;40/130;restaurante;Sí;sí;921461111;reservas@restaurantejosemaria.com;https://www.restaurantejosemaria.com/tienda-josemaria/;Nuestro cochinillo asado D. Marca de Garantía, nuestro cordero asado `Segolechal I.G.P., los vinos de nuestras bodegas Pago de Carraovejas y Ossian Vides y Vinos, y por supuesto, nuestro Gastrobar, nuestra barra, todo esto hasta vuestra casa.;40.950478, -4.122704
Zamora;Zamora;C/ Viriato, 3;Flamingo Dinner;49/2832;bar;Sí;sí;980584611;flamingozamora@gmail.com;https://flamingozamora.com/;Horario Mañanas y Tardes de Lunes a Jueves 10:30 a 16:30 y 20:00 a 00:00. Viernes a Domingo 10:30 a 16:00 20:00 a 00:00;41.503511, -5.745635
Salamanca;Alba de Tormes;Ctra. Salamanca-Alba, km 17;Don Fadrique;37/952;restaurante;Sí;sí;650488113;takeaway@donfadrique.com;http://www.donfadrique.com;Comida tradicional y de temporada especialidad en asados en horno de leña. entregamos pedidos de viernes a domingo de 12:30 a 15:00, fuera de ese horario consultar vía mail o whatsup 650488113;40.832624, -5.526452
Valladolid;Villanueva de la Condesa;C/ Iglesia, 2;El Rincón de Doña Inés;47/733;restaurante;Sí;sí;983756067;info@rinconines.com;http://www.rinconines.com;Ofrecemos todo tipo de comidas caseras y menús diarios por encargo, los cuales se pueden recoger en el establecimiento o se pueden servir a domicilio en nuestra localidad, (Villanueva de la Condesa) y en las poblaciones cercanas a la misma. Se admiten pedidos hasta las 23:00 h del día anterior y el importe mínimo del pedido es de 20 euros para los servicios de entrega a domicilio (Sin importe mínimo en los pedidos para recoger).;42.148756, -5.094284
León+A129:P130;León;Avenida de la Independencia 1;Goiko;24/1697;restaurante;Sí;sí;987790596;;http://www.goiko.com;Horario Delivery: de 13:00 a 23:30 horas de domingo a miércoles y de 13:00 a 24:00 horas de jueves a sábado. Horario Take-away: de 13:00 a 22:00 horas de lunes a domingo;42.597173, -5.571714
Segovia;Cuéllar;Avda. Camilo Jose Cela, 2;Mesón San Francisco;40/87;restaurante;Sí;sí;921052784;info@hmsanfrancisco.com;http://www.hmsanfrancisco.com;;41.400932, -4.311453
Segovia;Villacastín;C/ Caballeros, 23;El Pilar;40/737;restaurante;Sí;no;696102039;hrvillacastin@gmail.com;https://www.hotelrtelpilarvillacastin.com/;Pizzas, Hamburguesas, Bocadillos, Raciones y Menú. Reserva en telefono: 696102039.  Horario: 11 a 16 Y 19 a 22;40.779895, -4.410207
León;Villadepalos;C/ El Caño, 1;La Tronera;24/1262;restaurante;Sí;no;616182619;reservas@hotelrurallatronera.com;https://hotelrurallatronera.com/;"AVISO POR TEL Y ENCARGO CON AL MENOS 24 HORAS DE ANTELACIÓN

-	COMETE EL BIERZO- CALENTAR Y LISTO PARA 
         DISFRUTAR
-	* BOTILLO WELLINGTON
-	BOTILLO 2.0
-	EMPANADA DE VIERAS
-	EMPANADA DE BACALAO
-	QUICHE DE VERDURAS
-	TARTA DE LACÓN CON PIMIENTOS
-	TARTA DE QUESO VEIGADARTE Y CECINA
-	TARTA DE PULPO CON CACHELOS";42.53971112099118, -6.750229237386431
León;León;Plaza Santa María del Camino, 11;Restaurante Pax;24/1466;restaurante;Sí;no;987344493;registro@hospederiapax.com;https://www.hospederiapax.com;Comida tradicional. Especialidad en Arroces. Reserva por teléfono el día antes. Recogida en el Restaurante de 13.30 a 15.30.;42.595252, -5.568165
Burgos;Villafría;C/ Vitoria, 319;Las Vegas;09/13;restaurante;Sí;sí;620093976;reservas@hotelasvegas.com;http://hotelasvegas.net/;ENCARGOS PARA RECOGER RESERVA O PREGÚNTANOS EN EL 620093976.  MENÚ DEL DÍA Todos los días, comida y cena Primer Plato Segundo Plato Postre Agua y Pan incluidos 10,00€ (IVA incluido) ***** SÁBADOS Y DOMINGOS Paella de Carne o de Marisco Merluza al abuelo Cordero Lechal Asado (Por encargo) ****** Además: Tortilla de Patata +Barra de Pan 8,00 € ****** Recogida en el Hotel De 13:30 a 15:30 y de 20:30 a 22:00;42.363582, -3.627408
Valladolid;Valladolid;Acera de Recoletos, s/n;Aquarium - Sabores;47/803;restaurante;Sí;sí;983303699;valladolid@grupomoga.com;https://mogaencasa.com/;Desde la pagina web: mogaencasa.com horario: 11 a 16h y 20 a 23 h. Reparto a domicilio propio y gratis  20% descuento en recogida en local;41.645724, -4.728244
Zamora;Zamora;Paseo la Vega, 18;Mesón La Vega;49/293;restaurante;Sí;no;665005740;guerra.piii@gmail.com;;Menú diario. Comidas por encargo. Arroces, paella, bogavante, zamorana, etc. Burguer, sándwich, montados. Tortillas, empanadas, croquetas varias y por encargo anticipado. Tajín Árabe, Cous Cous, Asados de tostón y lechazo de Zamora. Servicio de catering.;41.501273, -5.754086
Zamora;Villaralbo;C/ Río, 52;Casa Aurelia;49/140;restaurante;Sí;no;980539626;aurelia@casaaurelia.com;http://www.casaaurelia.com;Carne a la brasa, pescados al horno, raciones, bocadillos, platos combinados para recoger de 13.30 a 15.00 y de 20.30 a 21.30 todos los dias.;41.49472, -5.683537
Valladolid;Valladolid;C/ Kilimanjaro, 2;La Geniaaall Vermutería;47/4961;bar;Sí;no;983455150;Lageniaaall@gmail.com;;Recogida en el local, sábado y domingo a mediodía. Vermut para llevar.;41.616441, -4.718604
Zamora;Zamora;Plaza Santiago, 3;Taberna Ajo y Perejil;49/714;restaurante;Sí;sí;679514542;emilio@setentayseisgrupo.com;;Los horarios para efectuar tu pedido con recogida serán los siguientes: Comidas 10:00 a 15:00 (Recogida de 13:30 a 15:45) Cenas 18:00 a 21:15 (Recogida de 20:00 a 21:45) Las recogidas en taberna se beneficiarán de un 10% de descuento, pero si nos los encargas el día anterior te descontaremos un 20%. El servicio de envío a domicilio lo realizará la empresa Glovo.;41.505386, -5.744297
León;León;C/ Regidores, 9;La Bodega Regia;24/718;restaurante;Sí;no;987213173;maria@regialeon.com;http://www.regialeon.com;Cocina tradicional leonesa. Encargos con un día de antelación mínimo. Recogida los jueves, viernes y sábados de 13.00h a 15.00h. Reservas en el 987213173 o en www.regialeon.com (Regia Market);42.59796, -5.569768
Valladolid;Cigales;C/ Guadalajara de Méjico, 2;Zocha;47/4726;bar;Sí;sí;983586114;;;Raciones, hamburguesas, sartenes, canapés de encargo.... más novedades cada fin de semana. Pedidos al teléfono fijo 983586114 o Whatsap: 625190315;41.756059, -4.696062
Zamora;Zamora;C/ Villalpando, 11;Burguer T.B.O.;49/412;restaurante;Sí;sí;605823129;info@tborestaurant.com;https://www.tborestaurant.com/pedidos/;Rollings, hamburguesas, pizzas, ensaladas, sandwiches, durum y kebab, baguettes... una carta muy variada con servicio a domicilio propio y sin intermediarios. Entra en la web o descarga la app para hacer los pedidos online y disfruta de nuestros descuentos y promociones, o bien llamando al 980670434.;41.508912, -5.748938
Zamora;Benavente;Arrabal Huerta de Los Salados, s/n;Mesón El Ermitaño;49/151;restaurante;Sí;sí;980632213  635939127;pedidos@elermitano.com;https://elermitano.com/;Un trocito de El Ermitaño en tu casa. ¿ Cuando debe de hacer su pedido para recibirlo ? Las entregas en su domicilio serán de martes a viernes antes de las 13:30 h (Hasta los jueves, antes de las 13:00 h, serán los últimos pedidos que atenderemos para entregarlos en su domicilio la misma semana). Las entregas en el propio Restaurante serán de lunes a sábado de 12:00 a 13:30h exceptuando días que sean festivos (Hasta los sábados, antes de las 12:00 h, serán los últimos pedidos que atenderemos para entregarlos en el Restaurante la misma semana). Hacemos también entregas a domicilio locales y perimetrales, consúltenos.;42.005566, -5.656699
Zamora;Zamora;C/ Brahones, 4;Mesón del Zorro;49/663;restaurante;Sí;no;980161647;elmesondelzorro@gmail.com;http://elmesondelzorro.es/;Cocina Tradicional Zamorana Especialidad en Cocido Castellano, guisos caseros, carnes a la parrilla y pescados a la cazuela. HORARIO: (de martes a domingo) TELÉFONO DE RESERVAS: 980 16 16 47 ENCARGO DE PEDIDOS: DE 10:00 A 13:30H RECOGIDA DE PEDIDOS: 13:00 A 15:30H *Para encargos de más de 4 raciones de cocido, reservar el día de antes*;41.513675, -5.740816
Zamora;Zamora;C/ Libertad, 28;Rincón del Tío Jerónimo;49/3439;bar;Sí;sí;669067498;Danisconejo@gmail.com;;Carne a la brasa recién preparada, Raciones, ensaladas... De martes a jueves horario de comida. De viernes a domingo horarios de comida y cena. Encargar con antelación, sobre todo fines de semana pues hay limitación en los pedidos para garantizar la calidad Encargos por WhatsApp 669 067 498;41.51419, -5.740737
Zamora;Zamora;C/ Diego de Losada, 2;Kalua;49/309;restaurante;Sí;no;980526581;jesuskalua@hotmail.com;http://www.restaurantekalua.es;Hamburguesas, sandwiches, platos combinados, bocadillos con la mejor materia prima de zamora ejm. TERNERA DE ALISTE, LOMO ADOBADO ...... llamando al 980526581 te lo preparamos para que te lo lleves.;41.506646, -5.739814
León;Castrillo de los Polvazares;C/ Real, 4;Almacén del Arriero;24/485;restaurante;Sí;sí;665662561;almacendelarriero@gmail.com;https://www.mesondelarriero.com/;EL COCIDO MARAGATO recién elaborado y enviado a tu domicilio en cualquier rincón de España. LISTO PARA CALENTARLO EN UNA OLLA Y DISFRUTARLO EN COMPAÑÍA EN CUALQUIER LUGAR DE ESPAÑA. Rápido (en 24 horas), buen precio (2 raciones/ 37 € en total) y natural, recién elaborado en nuestra cocina. En nuestra página de compra puedes también adquirir Cecina IGP de León, además de otros productos de charcutería y carnicería procedentes de nuestra comarca. Teléfono/WhatsApp: (+34) 665 662 561;42.46496, -6.126956
Burgos;Aranda de Duero;C/ Valladolid, 36;Prado Marina;09/674;restaurante;Sí;no;947123771;;;Fundamentalmente menú del día.;41.667069, -3.708808
Salamanca;Salamanca;C/ San Pablo, 49;El Laurel;37/674;restaurante;Sí;no;686562157;Ellaureldesalamanca@yahoo.es;;Restaurante vegetariano y veganos, recogida de pedidos de martes a domingos de 13:30 a 15:00, con un menú por 11,90 y pedidos por WhatsApp o por teléfono, 686562157;40.959781, -5.664345
Valladolid;Mélida;C/ Pasadizo, 1;Mélida Wines;47/1196;restaurante;Sí;sí;686580012;info@melidawines.com;http://www.melidawines.com;ABIERTO VIERNES, SABADO Y DOMINGO COMIDA Y CENA pedidos al telefono 686580012;41.580459, -4.077444
Burgos;Burgos;Paseo de la Audiencia, 2;Cervecería Isla;09/975;restaurante;Sí;sí;947262138;;;Horario 12-16 y 19-22.00 en local y plataforma de envío a domicilio;42.339532, -3.70411
Segovia;Navas de Riofrío;C/ Sierra, 10;El Fogón de Valentina;40/708;restaurante;Sí;sí;633443690;srgarcia1995@gmail.com;http://www.elfogondevalentina.com;De lunes a domingo. 11-16 / 20/22 horas. Comida tradicional.;40.867568, -4.133983
Valladolid;Fuensaldaña;Ctra. Valladolid, s/n;La Venta;47/811;restaurante;Sí;no;983583171;;https://www.laventarestaurante.es/;Toda clase de comida de encargo, especialmente pescados, mariscos y el tradicional cocido de los viernes. Recoger;41.706071, -4.762546
Valladolid;Mucientes;Camino Ampudia, s/n;La Cueva de Mucientes;47/140;restaurante;Sí;no;665183419;bodegalacueva@bodegalacueva.com;http://www.bodegalacueva.com/;Asados y comida para llevar. Reserva por teléfono.;41.746312, -4.759597
Zamora;Zamora;C/ Renova, 11;El Horno;49/167;restaurante;Sí;no;980517987;restaurante@elhorno.info;http://www.elhorno.info;Horario: Lunes-Viernes 9:30 - 15:30. Sábados- Domingos 10:30 - 15:30. Para cenas encargar antes de las 16:00;41.5037, -5.746036
Salamanca;Salamanca;C/ Pérez Herrasti, 5;Novu;37/869;restaurante;Sí;sí;923 00 90 57;novu@corteycata.es;http://www.corteycata.es;Restaurante moderno ubicado en la zona del Corte Inglés, con cocina moderna donde impera los productos autóctonos y tradicionales como el ibérico. Tenemos servicio a domicilio o de recogida en el mismo restaurante manteniendo nuestro estilo CORTE Y CATA. Los horarios de servicio son desde las 13:00 - 15:15 y de 20:00 - 22:15 de Martes a Domingo.;40.972804, -5.657706
Zamora;Zamora;Avda. Príncipe de Asturias, 9;Pizzería la Competencia;49/720;restaurante;Sí;sí;673032494;Compezamora@gmail.com;;Comida italiana Lunes a viernes de13:00-16:30 y 20:00-23:00, sabado hasta las 00 horas;41.508103, -5.740435
Valladolid;Valladolid;C/ Marina Escobar, 1;El Dilema;47/35;restaurante;Sí;sí;648925186;Dilemacasualbar1@hotmail.com;;Tapas El Dilema convertidas en raciones. Para recogida en local la reserva preferentemente por WhatsApp. Horario: de lunes a viernes de 9:00 15:30,  viernes, sábados y domingos noche de 19:30 a 22:00. Envio a domicilio: Globo.;41.648002, -4.727706
Burgos;Puentedura;C/ Las Turriendas, 70;Sabinares del Arlanza;09/4630;bar;Sí;no;667470680;info@sabinaresdelarlanza.com;https://sabinaresdelarlanza.com/es/hotel-rural/;Ofrecemos: Paella de carne, pescado o mixta, Fideuá de verduras, Níscalos con patatas, puchero de garbanzos/alubias/lentejas, a 10€/ración para 2-4 personas, a 9€/ración para 6-10 personas y a 8€/ración para más de 10 personas. La reserva se hace con un día de antelación y el horario se acuerda con el que venga a recogerlo. Para recogidas en domingos la reserva se hace en viernes. El pago se hace al recoger y en efectivo. Si se llevan el recipiente (ej. paella) se deja un DNI como garantía de devolución o 20€.;42.037023, -3.589589
Ávila;Ávila;Avda. Derechos Humanos, 11;Inclusivo El Cobijo;05/778;restaurante;Sí;no;920352732;faemaadmon@gmail.com;https://www.restauranteelcobijo.es/es/;"En el Restaurante Inclusivo ""El Cobijo"" ofrecemos una amplia carta de servicios, desde menús diarios, menús de fin de semana, raciones, platos combinados, menú infantil, pizzas y hamburguesas..etc Para hacer la reserva, es necesario llamar con unos días de antelación al 920 35 27 32 / 920 23 80 48 e informaremos del horario de recogida. También se puede escribir un mail a info@asociacionfaema.org";40.641806, -4.698192
Ávila;Navaluenga;Paseo Acacias, 12;De Zamorano;05/792;restaurante;Sí;sí;920337458;restaurantedezamorano@gmail.com;https://www.dezamorano.com;Después de una consolidada trayectoria en Madrid como pastelero, cocinero, jefe de cocina y dueño de su último restaurante junto a la plaza mayor, Alfredo Zamorano, junto con su sobrino Aitor Zamorano, también cocinero, decide por fin abrir !De Zamorano! su nueva apuesta en su pueblo de origen, Navaluenga. Para ello, qué mejor que emplear como logotipo la mismísima firma de Lorenzo Zamorano (su padre y abuelo, respectivamente). Un homenaje a ese trabajador curtido en el campo, aparentemente rudo, que al final de su vida sorprendió a todo su entorno con sus hermosos poemas que firmaba con orgullo. Una intensa sensibilidad que permaneció oculta a lo largo de su vida y de pronto floreció profusamente como un regalo a su mujer y a toda su familia. De Zamorano es toda una declaración de intenciones. Desde sus fogones se debe entender la cocina como un sentir poético, un retorno a los orígenes con el bagaje de lo aprendido, del buen hacer... Los productos de la tierra expresan sus sabores, aromas, colores, texturas para hablarnos tal y como lo hizo Lorenzo Zamorano con su poesía: sencillamente, con honestidad y emoción. El esmero por el bienestar de nuestros comensales y ese equilibrio entre tradición, retocada sin llegar a desnaturalizarse, y creatividad sin excesivos artificios marcan el verdadero sello de la casa De Zamorano.;40.410961, -4.705092
Valladolid;Tordesillas;C/ Empedrado, s/n;Mesón Valderrey;47/199;restaurante;Sí;no;609039188;mesonvalderrey@gmail.com;http://www.mesonvalderrey.com;Asados de Lechazo o cochinillo. Ensaladas, patatas y vino. Horario de 14:00 a 15:30 h. Reservas whasp o móvil 609039188;41.499491, -5.001529
Burgos;Burgos;Avda. Reyes Católicos, 30;Rice;09/639;restaurante;Sí;sí;947780078;basterragastrobar@ricehotelesburgos.com;http://www.ricehotelesburgos.com;Pedidos a Domicilio a través de la aplicación JUST EAT. Pedidos para recoger llamar al teléfono 947 78 00 78. En Rice la garantía del saber hacer, experiencia y elegancia fluyen y se respiran. Un gastrobar de precio asequible donde podrás encontrar un producto de alto nivel para picotear a base de tapas frías o calientes, pero también carnes o pescados cocinados de forma sabrosa para extraer lo mejor del producto de calidad. Además, todos los platos tienen la posibilidad de hacerlos tanto para llevar como a domicilio. Especialidad en arroces ( Paella de Marisco, Arroz de verduras, Arroz Negro de pulpo, Arroz de carabineros, Arroz de bogavante, MELOSOS/CREMOSOS: Ración Arroz meloso de CARRANC (buey de Mar)son su plato estrella por excelencia. No te pierdas las croquetas caseras , hamburguesas o ensaladas. Arroces: Pedido mínimo dos raciones (del mismo arroz).;42.347876, -3.692558
Segovia;Villaverde de Íscar;Plaza Mayor, 6;Los Chicos;40/640;restaurante;Sí;sí;645976480;info@restauranteloschicos.net;;Restaurante de comida Castellana casera, con horno de leña y especialidad en asados, capacidad para 90 personas, cocina sin gluten (especial para celiacos). Las reservas principalmente por teléfono 645 97 64 80, también contestamos whatsApp, e incluso reservas por internet mediante nuestra pagina web restauranteloschicos.net. Cerramos los Miércoles por descanso y la primera quincena de septiembre por vacaciones. También puede consultar nuestra carta en la pagina web. De lunes a Jueves de 10:00 a 17:30 h Viernes, Sábado y Domingo de 10:00 a Cierre.;41.306833, -4.526244
Salamanca;Salamanca;C/ Palominos, 13;Baco;37/775;restaurante;Sí;no;923219238;barrestaurantebaco@gmail.com;http://barrestaurantebaco.wix.com/salamanca;Cocina tradicional casera, sin gluten, opciones veganas y vegetarianas. Pedir o reservar preferiblemente telefónicamente (923219238). Actualmente nuestro horario es de 11:00---a----21:00 horas.;40.961957, -5.665042
Burgos;Burgos;Plaza Alonso Martínez, 3;Goiko Grill;09/1118;restaurante;Sí;sí;947799976;;http://www.goiko.com;Horario Delivery de 13:00 a 23:30 horas de domingo a miércoles y de 13:00 a 24:00 horas de jueves a sábado. Horario Take-away de 13:00 a 22:00 horas;42.34366, -3.700617
Valladolid;Cogeces del Monte;C/ Manzana, 1-3;Maryobeli;47/742;restaurante;Sí;sí;615127024;maryobeli@gmail.com;https://www.turismoruralmaryobeli.com/;Admitimos sujerencias de menus/ platos. Recepción de pedidos vía telefónica todo el día.;41.511437, -4.316317
León;Astorga;C/ Alcalde Carro Verdejo, 2;Juanín;24/7275;bar;Sí;sí;987617512 657053601;jtiberio1987@gmail.com;;Chocolate con churros, café y tortilla por encargo.;42.459242, -6.057025
Zamora;Zamora;Avda. Príncipe de Asturias, 7;Pastelería Heladería La Alhóndiga;49/87;cafetería;Sí;sí;607431011;faherba_7@gmail.com;;Pastelería, heladería, cafetería y panadería en el centro de Zamora.;41.507819, -5.740712
Zamora;Pedrazales;C/ Barrio Medio, 56;La Andaluza Low Cost Pedrazales;49/583;restaurante;Sí;no;660871131;laposada@laposadadepedrazales.com;http://www.laposadadepedrazales.com;Menú diario, hamburguesas de Kobe, carnes a la brasa, pescados y asados al horno, paellas, guisos por encargo, tapas..... CONSULTENOS!!! Los pedidos se haran vía WhatsApp o por teléfono al 660871131. Horario de pedido 12:00 a 20:00, y recogidas de 13:30 a 15:30 / 19:00 a 21:00;42.116079, -6.668743
